f(x),orientation,winE,winW,transmitance,Cálculo Gráfico,,
"137,866338","-116,37","4,577","5,693","0,6137","137,866338",,
"231,003635","131,65","0,543","0,164","0,3028","137,866338",,
"153,181082",0,3,3,"0,5","137,866338",,
"172,66461","-175,64","5,886","0,122","0,7977","137,866338",,
"148,370223","179,33","5,898","5,883","0,7998","137,866338",,
"171,796829","175,28","5,896","0,176","0,2015","137,866338",,
"140,94672","-175,27","5,515","5,891","0,5152","137,866338",,
"137,606633","-57,15","5,533","5,894","0,5267","137,606633",,
"136,992061","-71,56","5,9","5,9","0,6662","136,992061",,
"137,410091","179,46","5,867","5,165","0,2051","136,992061",,
"143,042252","-40,54","5,883","3,369","0,2034","136,992061",,
"138,794738","107,41","5,892","3,798","0,5059","136,992061",,
"142,769722","-12,79","5,891","4,95","0,5727","136,992061",,
"137,321292","-105,93","5,895","5,897","0,6932","136,992061",,
"133,351807","69,12","5,9","5,9","0,2467","133,351807",,
"164,317572","-179,71","0,802","5,868","0,2171","133,351807",,
"139,390882","-109,29","3,95","5,847","0,233","133,351807",,
"140,191988","173,9","5,832","5,862","0,4393","133,351807",,
"138,469927","10,42","5,9","5,897","0,2678","133,351807",,
"134,865372","102,93","5,861","5,892","0,2004","133,351807",,
"134,041247","91,45","5,789","5,493","0,281","133,351807",,
"133,605499","86,79","5,9","5,9","0,2926","133,351807",,
"133,410601","69,88","5,9","5,798","0,2457","133,351807",,
"133,360943","57,74","5,9","5,9","0,2537","133,351807",,
"133,203337","68,75","5,9","5,9","0,2444","133,203337",,
"167,815778","176,36","0,117","5,896","0,7875","133,203337",,
"139,898955","91,51","3,056","5,892","0,6472","133,203337",,
"139,388845","27,55","3,616","5,883","0,402","133,203337",,
"133,425385","78,88","5,888","5,893","0,2685","133,203337",,
"138,60962","19,38","4,951","5,766","0,2005","133,203337",,
"181,359484",180,"4,024","0,189","0,8","133,203337",,
"167,107942","-179,95","0,13","5,784","0,7935","133,203337",,
"143,867223","-147,12","5,87","2,764","0,4812","133,203337",,
"136,325642","-145,81","5,785","4,587","0,3203","133,203337",,
"133,251891","69,39","5,898","5,895","0,263","133,203337",,
"134,152743","61,25","5,898","5,883","0,201","133,203337",,
"133,544224","66,66","5,878","5,9","0,2318","133,203337",,
"148,946411","8,26","5,726","2,096","0,79","133,203337",,
"145,366311","-17,1","3,849","4,309","0,7958","133,203337",,
"141,545273","35,25","4,826","5,827","0,7292","133,203337",,
"133,408312","67,02","5,897","5,894","0,2417","133,203337",,
"134,73663",93,"5,9","4,996","0,2921","133,203337",,
"133,682569","78,84","5,9","5,9","0,2309","133,203337",,
"133,367042","69,45","5,9","5,9","0,2431","133,203337",,
"133,214421","68,57","5,9","5,9","0,2443","133,203337",,
"133,207646","68,7","5,887","5,9","0,2443","133,203337",,
"133,206869","68,71","5,9","5,9","0,2443","133,203337",,
"147,219203","-169,75","5,752","3,366","0,7881","133,203337",,
"139,193374","-26,64","4,905","4,353","0,379","133,203337",,
"134,747781","77,4","4,944","5,892","0,5247","133,203337",,
"133,139681","68,6","5,898","5,892","0,2574","133,139681",,
"133,368979","65,71","5,853","5,87","0,2581","133,139681",,
"133,149651","68,01","5,9","5,893","0,2566","133,139681",,
"151,016239","-178,98","2,537","4,118","0,4405","133,139681",,
"146,668435","-63,14","2,055","5,886","0,5729","133,139681",,
"134,536755","-92,56","5,863","5,888","0,2491","133,139681",,
"133,36059","66,28","5,899","5,9","0,2517","133,139681",,
"133,308771","69,69","5,899","5,893","0,2554","133,139681",,
"133,145468","67,98","5,9","5,893","0,2582","133,139681",,
"171,337978","179,71","0,171","5,818","0,2071","133,139681",,
"137,713159","-105,77","3,96","5,729","0,4296","133,139681",,
"138,404644","24,85","5,238","5,824","0,403","133,139681",,
"133,132967","68,66","5,893","5,892","0,2573","133,132967",,
"133,8973","80,91","5,703","5,791","0,2201","133,132967",,
"136,045281","-149,74","5,9","5,833","0,2","133,132967",,
"133,160443","68,45","5,892","5,869","0,2573","133,132967",,
"133,349837","68,91","5,885","5,898","0,2575","133,132967",,
"133,14604","68,61","5,893","5,886","0,2573","133,132967",,
"141,802891","178,07","3,293","5,772","0,2755","133,132967",,
"141,902933","-0,42","3,947","4,637","0,5614","133,132967",,
"137,206264","-173,93","4,89","5,891","0,3444","133,132967",,
"133,173558","68,6","5,889","5,864","0,2557","133,132967",,
"133,25419","65,55","5,9","5,824","0,2601","133,132967",,
"133,163088","67,99","5,9","5,882","0,2573","133,132967",,
"147,656035","164,92","4,175","3,354","0,7513","133,132967",,
"136,776564","128,28","4,424","5,83","0,381","133,132967",,
"134,967551","-108,2","5,885","5,709","0,4166","133,132967",,
"133,339656","75,06","5,896","5,766","0,2598","133,132967",,
"133,123149","73,18","5,899","5,801","0,2896","133,123149",,
"133,24595","77,02","5,9","5,81","0,2768","133,123149",,
"155,519414","12,26","5,842","1,289","0,4309","133,123149",,
"138,590838","117,04","4,964","4,619","0,6563","133,123149",,
"134,833929","94,09","5,893","5,233","0,4389","133,123149",,
"133,048733","71,82","5,894","5,819","0,2804","133,048733",,
"133,225387","67,28","5,898","5,819","0,2828","133,048733",,
"133,023455","71,37","5,9","5,85","0,2783","133,023455",,
"133,030815","71,68","5,812","5,877","0,2791","133,023455",,
"133,004014","72,25","5,9","5,874","0,2819","133,004014",,
"133,135207","72,64","5,9","5,857","0,2775","133,004014",,
"133,027976","71,32","5,889","5,852","0,2783","133,004014",,
"149,553547","-179,87","2,66","4,246","0,7444","133,004014",,
"137,684752","-115,77","5,861","4,054","0,6244","133,004014",,
"136,041869","-93,07","5,88","4,145","0,4571","133,004014",,
"133,007988","71,94","5,885","5,853","0,2818","133,004014",,
"136,699207","131,42","5,428","4,931","0,3649","133,004014",,
"138,190329","127,98","5,01","4,923","0,2014","133,004014",,
"190,773966","-168,01","3,672","0,388","0,2059","133,004014",,
"141,021339","-173,98","4,408","4,119","0,5174","133,004014",,
"136,463093","-52,51","4,835","5,821","0,3342","133,004014",,
"133,018454","70,98","5,858","5,882","0,2802","133,004014",,
"133,004437","71,8","5,884","5,875","0,2832","133,004014",,
"132,979349","70,78","5,894","5,874","0,2801","132,979349",,
"145,792946","-7,78","5,89","4,149","0,7624","132,979349",,
"144,288728","-8,44","5,885","2,836","0,5653","132,979349",,
"135,806535","66,9","4,536","4,652","0,4433","132,979349",,
"133,143552","72,71","5,89","5,859","0,284","132,979349",,
"133,00512","72,11","5,89","5,878","0,282","132,979349",,
"133,021461","70,91","5,895","5,872","0,2816","132,979349",,
"132,967973","70,89","5,9","5,889","0,2791","132,967973",,
"133,019119","71,27","5,897","5,885","0,2778","132,967973",,
"132,966499","70,75","5,894","5,892","0,2791","132,966499",,
"143,977442","178,13","3,192","4,49","0,5167","132,966499",,
"145,256999","91,14","5,862","2,654","0,2796","132,966499",,
