f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"227,809102","118,31","0,433","0,677","0,2674","227,809102"
"143,838391","-177,12","5,635","5,187","0,6619","143,838391"
"153,181082",0,3,3,"0,5","143,838391"
"167,826679","177,11","0,121","5,874","0,7992","143,838391"
"171,801796","179,33","5,878","0,104","0,7894","143,838391"
"137,503448","176,67","5,898","5,872","0,2007","137,503448"
"134,541988","118,71","5,89","5,898","0,2984","134,541988"
"133,937697","62,15","5,868","5,899","0,3954","133,937697"
"144,984894","138,95","5,9","5,9","0,8","133,937697"
"142,16183","-179,63","3,31","5,885","0,2059","133,937697"
"174,229105","-178,99","5,83","0,115","0,204","133,937697"
"166,195016","-177,68","0,289","5,615","0,7897","133,937697"
"139,460422","2,81","5,864","5,896","0,2966","133,937697"
"136,289082","120,43","5,883","5,889","0,4439","133,937697"
"133,436362","68,81","5,56","5,9","0,3948","133,436362"
"147,870949","-18,62","3,071","5,878","0,7509","133,436362"
"138,153334","-169,5","5,77","5,891","0,3698","133,436362"
"138,09818","-60,4","3,69","5,895","0,4676","133,436362"
"133,722784","85,53","5,632","5,895","0,3759","133,436362"
"136,189127","125,65","4,622","5,9","0,3005","133,436362"
"236,566486",-180,"0,1","0,1","0,8","133,436362"
"133,88241","66,7","5,521","5,231","0,3924","133,436362"
"133,758775","58,64","5,342","5,9","0,3771","133,436362"
"133,427874","72,27","5,49","5,9","0,4091","133,427874"
"133,438313","68,86","5,56","5,9","0,3948","133,427874"
"133,438535","68,8","5,56","5,9","0,3949","133,427874"
"170,920956","171,82","5,9","0,254","0,2011","133,427874"
"144,87189","4,31","5,9","3,18","0,7125","133,427874"
"145,342768","1,52","5,75","5,883","0,6525","133,427874"
"133,467976","72,55","5,337","5,872","0,3918","133,427874"
"138,340568","16,17","5,867","4,946","0,3415","133,427874"
"182,84703",-180,"4,033","0,1","0,5011","133,427874"
"175,566535","57,22","0,175","5,879","0,2179","133,427874"
"145,480696","179,19","5,9","2,712","0,5242","133,427874"
"142,527954","-126,75","5,844","2,813","0,449","133,427874"
"133,450955","68,47","5,45","5,9","0,3932","133,427874"
"140,134573","13,07","5,079","4,945","0,5072","133,427874"
"222,685339",-180,"0,1","1,478","0,2","133,427874"
"144,351447","179,67","3,053","5,869","0,6121","133,427874"
"145,066715","133,27","5,794","3,097","0,2233","133,427874"
"139,654723","-98,19","4,442","4,335","0,3104","133,427874"
"133,650018","76,16","5,487","5,551","0,3884","133,427874"
"133,485294","72,55","5,482","5,883","0,3987","133,427874"
"133,38525","72,83","5,431","5,889","0,389","133,38525"
