fx,orientation,trans,win_e,win_w
139.0073323197235,114.42,0.5935,5.773,5.678
132.79576069450832,72.7,0.2777,5.68,5.886
133.622145775143,72.96,0.274,5.662000000000001,5.9
139.40925260777956,-114.77,0.2386,3.645,5.875
140.6374710109665,-171.63,0.4749,5.6789999999999985,4.251
136.88430401700086,55.12,0.3942,5.266,5.001
132.92193093877842,72.63,0.2773,5.752000000000002,5.876
133.41898063810905,72.43,0.2821,5.6960000000000015,5.9
150.46137832643404,175.68,0.7914,3.35,3.726
134.5108289503482,-146.67,0.4901,4.824,5.8610000000000015
132.55229760014177,-130.73,0.3441,4.704,5.78
136.59655906525168,-138.65,0.3086,4.654,5.675
128.70322779351443,-136.78,0.3542,4.697,5.6789999999999985
151.4894213742599,-175.21,0.7285,3.4330000000000003,5.897
142.33430621361518,77.75,0.7293,4.497,4.583
131.57864895746977,-19.07,0.3456,5.092,5.894
133.3151725282152,106.47,0.2946,5.564,5.6160000000000005
150.67562450616796,148.43,0.4084,5.8870000000000005,2.318
136.2996576510576,-52.73,0.2871,5.791,4.9860000000000015
133.75072973854537,-77.93,0.3159,5.407,5.898
136.1901583518553,-142.13,0.3473,4.704,5.7120000000000015
163.8340010607393,11.27,0.4532,0.19,5.892
131.67961964522058,25.44,0.2155,4.436,5.841
137.35200195267907,-138.89,0.2721,4.731,5.046
136.98875996511265,-137.71,0.3601,4.678,5.751
137.11338754835845,-135.49,0.3543,4.708,5.684
139.72747795036494,-5.1,0.287,4.59,4.49
135.1389890806239,-79.01,0.3192,4.81,5.898
142.91111381317526,-179.95,0.2561,3.909,4.722
156.46819626582683,-91.78,0.8,5.501,2.0580000000000003
139.97663231954218,142.15,0.516,5.706,3.796
134.477093446644,-77.83,0.3599,5.189,5.4
136.67824599359685,-93.75,0.4176,3.988,5.434
152.12441483146333,-160.9,0.4656,3.27,3.225
137.4770248585043,13.34,0.2733,5.124,5.877999999999999
133.9497682355213,-77.42,0.3752,5.455,5.8870000000000005
135.56952079556356,-136.85,0.3552,4.7010000000000005,5.672999999999999
142.5206795222246,176.16,0.7162,5.78,4.044
136.7117750291741,-150.52,0.3902,4.466,5.9
143.5983710094028,-56.54,0.7839,5.718,3.9760000000000004
137.55495874465208,-146.43,0.3611,4.462,5.476
154.6613217577663,-22.38,0.5215,5.845,1.349
141.46345507907182,-74.99,0.6218,5.859,5.593
135.82258526807064,-137.73,0.3528,4.707,5.672999999999999
136.07496454385452,-137.25,0.3535,4.702,5.676
135.9914305270648,-136.97,0.3544,4.695,5.683
139.93141099434862,77.91,0.3347,5.732,3.504
145.4518260278334,0.4,0.5187,3.127,4.854
135.4116904601525,-113.1,0.4946,4.835,4.732
135.93867220814664,-177.32,0.4501,4.755,5.888999999999999
134.48175659250091,-94.87,0.3624,5.3439999999999985,5.336
137.89841778853892,177.41,0.3395,4.504,5.82
135.28007385672709,-77.55,0.3305,5.421,5.5360000000000005
135.99308490222916,-126.27,0.335,4.802,5.728
148.85780719377604,-28.57,0.7507,3.495,3.108
138.5154714307683,116.95,0.6268,5.229,4.436
135.25758795078286,-77.68,0.388,5.007,5.897
135.6829018369612,-155.4,0.3406,4.982,5.415
134.91890430845126,-137.05,0.35200000000000004,4.697,5.685
135.13059788985908,-136.92,0.3531,4.697,5.682
140.1435451478213,-98.68,0.6229,3.354,4.677
139.39437479313955,-9.35,0.4519,4.934,5.074
136.68558862392715,-121.53,0.3774,4.53,5.7639999999999985
135.37177403108043,-130.7,0.3636,4.651,5.71
135.94399323954616,-136.4,0.3542,4.687,5.6770000000000005
137.4590733159667,72.83,0.4658,5.273,5.8839999999999995
135.7231268755071,-28.03,0.3936,5.837999999999999,5.25
134.213789581441,-78.58,0.3959,5.615,5.4460000000000015
135.0273584087821,-137.85,0.4118,5.654,5.115
138.198051554916,-126.21,0.2569,3.878,5.175
209.42355425757583,-178.74,0.6968,0.616,1.456
150.57752278279102,179.06,0.7972,5.7360000000000015,5.8839999999999995
165.35916247542073,179.07,0.5745,5.893,0.16899999999999998
135.47877855314195,46.58,0.3621,5.899,5.474
147.6550160912784,-179.95,0.7689,5.835,5.8260000000000005
137.26620812684766,-112.4,0.4917,5.874,5.897
137.98520588888036,78.95,0.3426,5.897,4.944
134.95974185053058,83.2,0.3973,5.8820000000000014,5.441
135.79007875946584,67.98,0.3745,5.9,5.2410000000000005
162.5296813577314,180.0,0.2,4.5569999999999995,2.076
133.66347257744775,65.64,0.2607,5.9,5.86
133.72746302167405,65.39,0.2646,5.892,5.9
133.35289312764905,74.07,0.2681,5.874,5.874
133.39665639682252,64.23,0.2698,5.898,5.848
137.87863989719793,-3.95,0.5089,5.711,5.85
133.33760608604055,69.93,0.2715,5.899,5.8839999999999995
136.82210422376542,-60.13,0.3707,4.376,4.9110000000000005
137.2244460719884,-38.67,0.3291,5.897,4.602
137.95331725905578,8.86,0.2052,4.958,5.566
245.05844405541603,-180.0,0.2,0.1,0.1
171.51720946334763,177.1,0.7866,0.182,5.848
144.3930222047649,178.96,0.5764,4.13,3.877
140.30650586079386,23.31,0.485,5.1320000000000014,3.631
201.85523694987825,-45.1,0.2,0.1,3.411
133.27536297101292,70.59,0.2786,5.819,5.845
133.64278020475427,72.65,0.2783,5.9,5.8729999999999976
133.17570791350394,71.82,0.2769,5.9,5.846
163.8043527258211,-176.55,0.7976,5.7810000000000015,0.765
139.46047043413878,173.63,0.5634,5.579,5.885
134.09128883748065,-95.09,0.3362,5.867000000000001,5.872000000000001
133.09135527803562,70.96,0.2739,5.882999999999999,5.814
133.14851229451665,71.19,0.2784,5.875,5.822
143.5406189783335,-161.99,0.6152,3.528,5.891
134.69013942341803,-128.16,0.4171,5.814,4.471
133.09409556663672,72.92,0.2785,5.898,5.8420000000000005
133.6362485660983,72.43,0.2776,5.899,5.845
133.2596194182447,71.88,0.2769,5.899,5.853
144.77690046622982,-42.8,0.7328,5.816,5.815
136.07103433746232,-31.81,0.3942,5.118,5.897
132.8703589844119,71.16,0.2763,5.885,5.8260000000000005
137.3618481512855,13.1,0.2011,5.359,4.876
136.08011566522595,-96.87,0.2,5.434,5.21
133.58046661045438,102.79,0.5741,5.895,4.422
132.86700330728257,70.11,0.2802,5.849,5.739
136.67448174434557,24.23,0.3778,4.914,5.205
148.82288710967202,131.91,0.7827,2.988,5.898
138.0645983650762,97.72,0.5303,4.28,4.936
132.9994361917386,71.14,0.2795,5.88,5.718
