fx,orientation,trans,win_e,win_w
137.51429311067912,72.73,0.6424,4.663,4.6530000000000005
135.4771369407806,108.53,0.4312,5.323,5.896
135.93556579728252,133.76,0.3809,5.9,5.9
136.7132780626745,86.68,0.3535,4.744,4.0760000000000005
136.89614240956982,-159.68,0.46,4.917,4.77
133.54053734543723,83.28,0.3008,5.893,5.1560000000000015
133.27435746528778,69.92,0.3765,5.881,5.856
132.97120670725946,71.2,0.3755,5.89,5.848
133.08656032639186,70.64,0.3752,5.882999999999999,5.853
154.74549692346417,-179.65,0.235,2.929,4.066
141.3492765138534,-11.97,0.6271,5.477,3.7689999999999997
134.9830118644066,91.3,0.3398,5.301,4.896
145.2381448838131,-178.38,0.7744,3.4539999999999997,5.867999999999999
133.65030689264216,83.43,0.3337,5.886,5.501
134.2396610309933,57.31,0.4216,5.672999999999999,5.875
133.85450702497192,63.34,0.3965,5.776,5.86
143.22925708276864,176.62,0.6282,5.8,3.9530000000000003
136.03768417294805,-76.6,0.5179,5.152,4.498
137.06629596957043,-42.19,0.3451,4.881,4.966
133.2912218806051,74.3,0.3891,5.65,5.797999999999999
133.91430471964634,88.35,0.3803,5.4060000000000015,5.89
133.63827322320796,71.66,0.3736,5.9,5.442
133.24376192496922,71.9,0.3761,5.888999999999999,5.867999999999999
133.62210272005433,70.07,0.3762,5.877000000000002,5.834
143.79400616932688,-41.46,0.7997,4.458,5.89
133.34417496612758,74.26,0.3742,5.6789999999999985,5.814
133.26892736261163,73.35,0.3832,5.659,5.852
133.53321174550786,73.06,0.3823,5.657,5.841
139.95787284502006,21.84,0.3382,3.66,5.319
133.7421906999343,81.16,0.3574,5.744,5.472
135.2633897461411,60.6,0.4365,5.577000000000001,5.172999999999999
133.4470916537683,72.28,0.3742,5.886,5.84
133.5051036179513,71.47,0.3752,5.888999999999999,5.846
140.22211381099996,75.19,0.7978,5.78,5.052
138.83602317777724,14.07,0.2779,5.103,5.895
141.29124967066602,-92.28,0.4639,3.4930000000000003,4.259
136.8635835003312,144.98,0.3161,5.881,4.795
133.76071263338352,77.46,0.3905,5.58,5.375
133.6903675946978,71.83,0.3751,5.898,5.815
133.49079257455088,74.46,0.3814,5.714,5.8660000000000005
138.3191143287822,93.88,0.5671,5.8210000000000015,3.793
133.40650829593105,73.83,0.3893,5.653,5.808
133.12784003723795,70.73,0.375,5.869,5.852
133.3696815348214,71.08,0.3754,5.885,5.849
140.68069822525192,164.61,0.4502,5.303999999999999,3.625
143.45551723966346,-177.95,0.6363,3.796,4.316
134.4863044311589,-101.29,0.3104,5.682,5.099
133.3365623196253,76.59,0.3735,5.5420000000000025,5.771
132.72116332455204,71.26,0.3751,5.819,5.849
138.93185154868698,17.51,0.28,4.9,4.426
137.30832886836245,90.54,0.4168,5.843999999999999,3.591
133.55532257054932,70.87,0.3801,5.848,5.7879999999999985
133.62925731601035,71.31,0.375,5.805,5.845
133.4079861790862,70.64,0.3759,5.822,5.853
133.37643171998855,71.26,0.3747,5.82,5.853
132.62597165165477,73.91,0.3821,5.573,5.7879999999999985
134.26351159258752,82.1,0.4357,5.6320000000000014,4.967
146.24552491760656,-156.99,0.3132,2.668,5.819
133.6454364596546,75.8,0.2243,5.688,5.782
134.0679380980695,90.85,0.2851,5.752000000000002,5.659
132.86211491377668,74.2,0.3819,5.556,5.787999999999999
133.31665088289398,74.68,0.3826,5.59,5.79
138.85330032016972,62.89,0.5315,3.719,5.274
133.30611129211377,73.74,0.3802,5.544,5.7929999999999975
133.33680024105664,74.39,0.3806,5.574,5.797999999999999
133.16357952463233,73.33,0.3832,5.5710000000000015,5.806
133.5304239055937,73.75,0.3824,5.5729999999999995,5.7929999999999975
149.1051330223004,4.67,0.5911,5.8729999999999976,1.663
133.63867256236583,74.41,0.3822,5.57,5.773
133.83622874330447,72.2,0.3848,5.549,5.819
141.7000835176278,-75.71,0.6931,3.233,5.895
140.31319095877944,169.07,0.5278,5.289,4.84
133.96616437801694,85.15,0.3148,5.45,5.432
133.54670070584078,74.43,0.3816,5.559,5.7929999999999975
133.87124234384328,74.66,0.3749,5.678,5.815
138.61817342324449,-92.7,0.6902,5.865,3.408
136.10842900310615,43.22,0.3791,4.558,4.922
133.16082931145988,73.68,0.3749,5.83,5.829
133.2678880936966,74.09,0.3812,5.58,5.79
135.87099886271764,-112.74,0.4777,5.434,5.091
133.99955403649292,50.83,0.316,5.51,5.734
136.873086130406,46.5,0.5766,5.698,5.1320000000000014
151.22764788089134,-105.54,0.2708,5.8420000000000005,2.202
133.21864005821553,72.99,0.3196,5.608,5.7170000000000005
132.958314489462,71.94,0.3323,5.598,5.7120000000000015
132.98263103766672,72.34,0.3314,5.599,5.721
133.6228425002131,74.98,0.3831,5.574,5.777
133.58407267364458,74.45,0.3826,5.574,5.782
133.57122466534722,73.97,0.3817,5.577999999999999,5.789
147.72032617643185,12.08,0.3552,5.712999999999999,2.331
137.25472270862397,121.34,0.4172,4.769,4.955
133.77069888831156,93.99,0.3518,5.621,5.495
146.4015602136369,110.75,0.3845,3.017,4.481
133.142071167157,71.4,0.3308,5.595,5.7079999999999975
132.9979976657099,76.38,0.3504,5.42,5.857
132.99324436309206,75.74,0.3542,5.4220000000000015,5.834
132.57933451969413,74.85,0.3834,5.57,5.777
140.97646129866513,-27.43,0.4681,3.744,5.134
139.53458653914743,42.61,0.7073,4.687,5.849
133.73544995838458,73.8,0.3579,5.564,5.783
133.36426283244268,71.0,0.3321,5.6270000000000024,5.742999999999999
151.58025937881158,96.85,0.2036,2.315,5.863
133.42957995424715,77.16,0.3293,5.442,5.807
140.28539177485254,-176.93,0.5312,4.3180000000000005,5.6160000000000005
135.83619800690386,-65.34,0.4702,4.962,5.856
135.62934525943896,-122.54,0.3202,4.8180000000000005,5.074
144.64286364983602,132.54,0.5168,2.5660000000000003,5.846
136.2584739889347,92.51,0.5504,5.171,5.06
133.0180808402128,71.89,0.3318,5.605,5.7
