fx,fxIA,ori,trans,wine,winw
133.60485638400067,133.7372114772166,87.15,0.3136,5.73,5.899
153.52229122572382,154.74549692346417,-179.65,0.235,2.929,4.066
133.36736098335479,133.16082931145988,73.68,0.3749,5.83,5.829
132.98156391504432,132.92199981440598,72.13,0.2894,5.813,5.895
133.13575365423168,133.142071167157,71.4,0.3308,5.595,5.7079999999999975
133.11061624521938,132.75300204191456,71.9,0.3319,5.607,5.718
133.89502540872655,133.54053734543723,83.28,0.3008,5.893,5.1560000000000015
133.38746607823305,133.6326648162707,80.71,0.3175,5.896,5.888
141.06082150904655,140.97646129866513,-27.43,0.4681,3.744,5.134
133.43367763754472,133.494799825628,80.34,0.3153,5.657,5.898
136.7528921590782,136.90816759250228,57.24,0.6203,4.496,5.895
140.21147132174056,139.70656347996513,-173.74,0.4605,5.856,5.892
144.92056528014126,146.24552491760656,-156.99,0.3132,2.668,5.819
133.33894988351415,132.86211491377668,74.2,0.3819,5.556,5.787999999999999
171.95129024285401,173.39280217351342,179.78,0.2013,5.8660000000000005,0.227
133.12588883888657,133.0180808402128,71.89,0.3318,5.605,5.7
133.32446338134594,133.30611129211377,73.74,0.3802,5.544,5.7929999999999975
135.7316921049103,135.85269898575413,60.47,0.4189,5.238,4.276
136.99339938777212,137.25818453495623,-178.94,0.214,5.814,5.865
135.51946231252523,135.83619800690386,-65.34,0.4702,4.962,5.856
134.90618247368423,135.37061838762267,107.9,0.4165,5.888,5.9
135.01189287427778,134.4863044311589,-101.29,0.3104,5.682,5.099
133.31368067463399,133.12784003723795,70.73,0.375,5.869,5.852
140.51956484094796,140.5222700893066,19.35,0.4836,5.817,5.891
138.10108610613727,138.4098670075728,178.81,0.3547,5.888999999999999,4.917
133.48399150381556,132.86684008664827,74.67,0.3823,5.558,5.76
134.93958555153313,135.15015293482924,-110.29,0.2568,5.839,5.898
133.2209112175638,133.47668755479344,82.53,0.3112,5.601,5.8729999999999976
135.61842107328025,136.03768417294805,-76.6,0.5179,5.152,4.498
143.726013911285,144.06468189932832,127.67,0.7913,4.303999999999999,3.89
137.76677636569266,140.22211381099996,75.19,0.7978,5.78,5.052
144.8068484698512,143.79400616932688,-41.46,0.7997,4.458,5.89
143.3283765612942,143.45551723966346,-177.95,0.6363,3.796,4.316
133.33502218699692,132.97120670725946,71.2,0.3755,5.89,5.848
141.98744871507404,144.4460754743001,177.94,0.2211,4.3210000000000015,4.148
133.39563177547845,132.99491664312177,81.42,0.3144,5.638999999999999,5.896
133.40126949309766,133.3776996736278,76.6,0.3363,5.815,5.695
146.55523060381785,146.4015602136369,110.75,0.3845,3.017,4.481
139.0219163832936,138.61817342324449,-92.7,0.6902,5.865,3.408
152.61881925742742,151.22764788089134,-105.54,0.2708,5.8420000000000005,2.202
133.30093008014134,133.6695939051149,75.65,0.3181,5.765,5.621
135.95602552060646,136.10842900310615,43.22,0.3791,4.558,4.922
152.6704793380008,151.39240171679194,172.16,0.7507,5.769,2.132
142.3411906941444,141.56230634428067,-28.33,0.5777,4.327,5.737
133.3271334113571,133.274699245963,76.2,0.3179,5.64,5.89
133.296992720426,133.41369748422846,81.76,0.3118,5.605,5.881
133.79172173148362,133.7684920476076,79.98,0.3811,5.114,5.851
133.450583652267,133.06150331537114,77.91,0.3219,5.899,5.9
