fx,orientation,trans,win_e,win_w
141.81054352128402,140.44,0.5264,4.525,3.658
141.81054352128402,140.44,0.5264,4.525,3.658
222.55217234935242,-162.32,0.4243,1.031,0.5870000000000001
145.16602746380104,170.82,0.778,3.998,5.62
153.18108166841571,0.0,0.5,3.0,3.0
137.82433398519478,179.59,0.2017,5.881,5.864
172.18578077894662,-179.71,0.7966,5.867000000000001,0.135
171.53538918238033,178.74,0.7929999999999999,5.874,0.132
134.94357639220888,120.25,0.3002,5.898,5.893
133.9678069232431,62.26,0.3989,5.89,5.895
139.49532789010428,-63.97,0.762,5.9,5.9
171.3734810001722,173.14,0.213,0.128,5.881
137.0414273008401,-178.95,0.2096,5.893,5.797999999999999
135.43927883955283,-105.62,0.4692,5.794,5.877999999999999
142.29981392960315,4.3,0.4855,5.892,5.894
134.4028285894193,49.37,0.3094,5.876,5.9
141.42556476344615,-180.0,0.5142,5.9,5.9
171.2571333212687,171.27,0.2031,5.8820000000000014,0.208
144.0480918998696,178.44,0.5605,5.8610000000000015,3.088
143.775533224286,179.13,0.5945,5.9,5.855
133.44339710999628,82.14,0.3438,5.899,5.896
133.50610698161552,79.29,0.3447,5.896,5.894
133.36121469875087,82.33,0.3417,5.882999999999999,5.892
133.71752692358416,88.26,0.3421,5.711,5.6179999999999986
133.35911269041787,82.46,0.3418,5.874,5.9
133.34470012108187,82.49,0.3383,5.886,5.9
133.59287602211893,83.38,0.3369,5.8610000000000015,5.872000000000001
133.4324168749963,81.22,0.338,5.881,5.9
166.57345544754443,-178.09,0.7987,0.158,5.894
146.27833185741727,-67.87,0.2667,2.552,5.863
134.68838448326576,-62.39,0.2899,4.7219999999999995,5.898
133.4708899896903,69.65,0.369,5.89,5.899
133.52780455778222,80.81,0.3676,5.827000000000001,5.899
133.58388308109303,-74.68,0.265,5.9,5.9
171.80901889073155,65.17,0.6348,0.389,5.8660000000000005
145.2352083304462,-28.21,0.6288,3.0860000000000003,5.875
138.4640818396822,28.8,0.4249,3.909,5.899
133.34698497156154,75.41,0.3567,5.856,5.891
133.26485184197173,73.87,0.3581,5.8320000000000025,5.899
133.2979186881804,72.64,0.3584,5.7860000000000005,5.9
155.61026067898953,-67.55,0.2201,5.875,1.785
144.02821355999262,-8.9,0.6236,5.893,3.157
139.97297362213,-20.83,0.3638,5.865,3.7489999999999997
133.34313094216787,75.54,0.3536,5.79,5.885
134.26047062022894,85.57,0.3897,5.64,5.295
133.65464718822085,80.82,0.371,5.727,5.602
133.19259459311684,71.26,0.3542,5.849,5.893
133.2651224046258,73.87,0.3581,5.8320000000000025,5.9
133.2811936846361,73.51,0.3586,5.836,5.9
133.2655444689567,73.99,0.3583,5.8320000000000025,5.9
158.61416638716767,177.91,0.2476,3.075,3.365
138.09862694437544,76.59,0.7851,5.875,4.683
136.6559988115458,79.72,0.5913,4.641,4.771
133.21967530863614,70.9,0.3548,5.85,5.872000000000001
134.5651334205035,99.8,0.4526,4.902,5.89
139.49988110365484,-180.0,0.2606,3.777,5.059
148.51313756131034,-175.75,0.7733,3.765,3.45
140.34206719971846,-154.38,0.4838,3.564,5.867000000000001
138.04446958619351,-106.49,0.6301,4.66,4.648
133.19935685657288,71.54,0.3558,5.85,5.885
136.0325704504777,122.27,0.3117,4.895,4.938
202.06797536113442,91.15,0.6273,2.024,0.1
141.10983403871126,-175.1,0.4211,5.43,3.515
145.26966212971243,-179.04,0.7974,4.16,5.813
137.13856284933217,-56.53,0.4519,4.504,4.723
133.30884272468887,72.29,0.3556,5.816,5.892
136.17420591057115,130.42,0.2618,5.89,4.938
237.04229079924968,180.0,0.2,0.1,0.1
133.17874408980921,70.55,0.3548,5.85,5.9
133.20152606702126,71.28,0.3542,5.863,5.899
133.19425504732808,71.19,0.3544,5.843999999999999,5.899
155.45165800936027,130.79,0.7966,3.618,2.4
145.72759626845595,-2.63,0.7874,3.779,4.088
138.32004327554787,40.01,0.2013,4.302,5.891
133.18528237940257,71.16,0.3522,5.811,5.891
133.38221789392946,67.24,0.3567,5.716,5.9
133.35884565042187,69.82,0.3513,5.824,5.9
149.1330773071758,174.34,0.4439,2.093,5.5429999999999975
141.00152674657352,-108.93,0.2057,5.237,4.015
136.1809096694331,-145.11,0.3466,5.1770000000000005,5.006
133.19621451692905,71.5,0.355,5.858,5.8839999999999995
133.1527964441637,72.12,0.3541,5.829,5.892
133.14409753770784,71.99,0.3519,5.825,5.897
147.84928060766882,112.33,0.3113,5.823,2.435
137.4063313223862,71.37,0.4834,5.722,3.612
139.33181894111308,171.51,0.4775,4.999,4.489
133.40332618190615,69.64,0.3569,5.83,5.8839999999999995
133.68350155685965,79.44,0.3805,5.283,5.886
133.23790588962865,73.33,0.3685,5.612,5.9
133.25316994660946,73.43,0.3514,5.824,5.9
133.15358511518644,71.98,0.3515,5.83,5.8839999999999995
133.15475390957147,71.74,0.3518,5.83,5.9
146.18874550348636,-170.67,0.7888,5.885,4.407
139.55318155944892,28.9,0.2065,5.355,4.338
143.46300098612645,24.18,0.7336,4.569,5.86
133.33068963049075,75.74,0.3559,5.6560000000000015,5.899
133.27354676256365,73.84,0.3621,5.71,5.888999999999999
133.15542759224851,72.04,0.3528,5.8279999999999985,5.8889999999999985
164.33717544724647,-179.91,0.4602,0.37,5.819
137.39236187393035,42.61,0.3996,4.516,4.2860000000000005
142.09475302491208,-16.97,0.5988,5.48,4.752
133.24713370868534,73.58,0.3682,5.624,5.8729999999999976
133.2845817449662,74.18,0.3668,5.641,5.8870000000000005
150.69929305363442,128.19,0.2231,2.508,5.724
139.7788662406145,178.29,0.3822,3.775,5.896
133.23769718870818,73.01,0.3648,5.615,5.893
133.2132398883175,71.5,0.3675,5.593,5.867999999999999
133.1432087541917,71.98,0.3516,5.814,5.897
133.14384309526434,72.01,0.3514,5.8260000000000005,5.893
169.70746367172805,-95.83,0.5152,5.807,0.622
144.4135991514092,177.74,0.7318,5.059,3.958
139.2671443412249,-19.55,0.3566,5.568,5.164
133.3484454298567,70.06,0.3628,5.599,5.893
135.81662221751353,80.94,0.6532,5.867000000000001,5.773
136.59741880508784,-136.0,0.2257,4.802,5.8
133.17312959724234,70.49,0.3664,5.629,5.892
133.1664767939659,71.73,0.35200000000000004,5.817,5.893
133.12833587623902,72.26,0.3501,5.8260000000000005,5.9
133.269101001202,72.49,0.3508,5.825,5.9
133.13849285484093,72.12,0.3522,5.8320000000000025,5.898
156.6756862271566,-133.1,0.6068,1.855,4.155
141.63659993207727,-32.68,0.2812,4.0,4.4060000000000015
139.6999316280851,176.63,0.4201,5.683,5.8229999999999995
133.28140791578448,72.37,0.3514,5.808,5.892
133.46293805338001,69.63,0.3639,5.638999999999999,5.882999999999999
137.5710497869255,-141.81,0.4957,4.928,4.869
133.22181449182708,72.09,0.3659,5.683,5.898
197.09672249472214,-180.0,0.2,2.045,1.827
133.26722619282071,72.41,0.3504,5.849,5.9
136.3797626278367,74.76,0.3239,5.871,3.907
137.43636164819364,-62.45,0.5572,4.508,5.854
136.02623232982486,-96.98,0.4204,4.641,5.894
133.2302899773751,70.64,0.3659,5.659,5.894
159.2107926673049,28.53,0.4147,1.624,4.864
136.77583558855278,113.44,0.53,5.895,4.973
133.35927367506588,75.35,0.3587,5.747000000000001,5.892
133.38705386036122,74.64,0.3585,5.716,5.888999999999999
133.34772991511363,75.55,0.3568,5.702000000000001,5.877999999999999
133.5963082550522,77.39,0.3581,5.721,5.87
142.49959922863366,-143.11,0.6536,3.419,5.685
137.55090043000388,-35.38,0.22699999999999998,5.893,5.899
143.59677409016848,-53.18,0.598,3.182,4.188
140.49864440600538,-60.38,0.4854,3.123,5.398
137.21113698984271,63.35,0.6188,5.896,4.313
139.76912642570105,-9.38,0.2591,5.7410000000000005,5.814
139.94513738894642,-7.31,0.2608,5.737,5.784
139.91003615057656,-8.92,0.26,5.763999999999999,5.822
139.91327707408962,-8.93,0.2599,5.74,5.815
134.58202163521938,50.1,0.3115,5.105,5.895
134.5290318842004,49.19,0.3356,5.56,5.899
144.410829906387,-147.83,0.4675,3.358,4.027
135.18047423663842,96.36,0.2186,5.048,5.8610000000000015
134.6724093137103,49.76,0.2382,5.477,5.9
135.6452083654488,55.3,0.4854,5.246,4.768
134.57191187077277,50.14,0.3459,5.711,5.896
139.9133335979049,-9.17,0.2598,5.751,5.825
142.26189398211582,-63.58,0.675,4.28,3.1319999999999997
