f(x),orientation,winE,winW,transmitance
161.508426,-95.17,0.936,5.859,0.2356
160.528844,2.59,5.704,0.862,0.7413
153.181082,0.0,3.0,3.0,0.5
236.311435,179.35,0.13,0.153,0.2001
167.381285,179.56,0.167,5.861,0.7975
137.454322,177.91,5.852,5.853,0.2034
134.646489,119.6,5.881,5.898,0.3021
133.877679,63.17,5.897,5.898,0.3995
147.999307,-180.0,5.9,5.9,0.8
141.570995,-166.89,5.886,3.736,0.2013
148.285273,175.29,5.892,5.845,0.7999
137.929865,-139.22,4.123,5.874,0.4575
139.528709,4.72,5.897,5.888,0.3008
136.576251,122.34,5.886,5.894,0.4404
133.803033,66.17,5.9,5.9,0.4018
167.033841,-175.62,0.124,5.764,0.7925
138.625913,-55.07,5.871,3.895,0.608
141.473186,28.64,3.758,5.894,0.6434
141.890316,9.74,5.899,5.893,0.4981
133.580708,82.17,5.781,5.801,0.3717
133.618152,79.53,5.9,5.9,0.3771
133.690027,82.13,5.9,5.659,0.3715
134.015975,93.81,5.727,5.861,0.378
133.609231,78.27,5.769,5.819,0.363
133.634784,79.92,5.76,5.79,0.3749
133.707924,83.57,5.777,5.812,0.3709
152.964334,-177.29,3.094,3.257,0.7839
163.1923,-177.91,5.857,0.985,0.4649
139.337871,-172.76,5.707,4.324,0.4288
133.504543,76.34,5.882,5.77,0.3691
134.861006,109.76,5.8,5.804,0.3937
133.446971,75.43,5.75,5.664,0.3525
158.047062,74.35,5.876,1.351,0.2034
141.230132,-23.17,5.805,3.267,0.3408
139.763853,-118.11,4.038,4.904,0.6807
133.452125,76.17,5.76,5.552,0.3362
133.583803,81.17,5.714,5.529,0.2966
134.095703,92.35,5.816,5.9,0.3994
154.405738,176.06,1.769,5.675,0.3517
146.369798,158.99,5.756,2.874,0.6134
140.633916,20.14,3.312,5.834,0.3694
133.654324,80.9,5.669,5.462,0.3185
137.125753,127.0,5.147,4.71,0.4506
183.774963,-69.39,3.1,1.434,0.2
133.448252,68.39,5.711,5.517,0.3626
133.455371,69.81,5.767,5.706,0.3488
133.42295,75.32,5.698,5.673,0.3515
133.476698,74.62,5.738,5.647,0.3536
133.431406,75.75,5.749,5.664,0.3512
142.994764,46.06,4.243,3.386,0.7984
137.805327,-113.4,4.755,5.683,0.2058
139.724573,-33.91,4.254,4.688,0.4969
133.477608,80.95,5.828,5.678,0.3157
133.382123,75.92,5.759,5.664,0.3399
133.401065,75.19,5.726,5.68,0.345
147.014114,177.0,2.776,4.487,0.6115
136.550055,81.31,5.692,4.854,0.6618
136.8282,-165.97,5.89,5.893,0.3049
133.584579,78.14,5.87,5.626,0.3344
133.694189,77.23,5.738,5.646,0.3422
133.416324,74.76,5.771,5.67,0.34
165.213079,-21.02,0.535,5.679,0.5714
138.443145,152.83,3.798,5.866,0.2882
138.3807,38.53,5.87,3.904,0.4981
133.352774,75.03,5.708,5.703,0.325
139.821193,15.7,4.798,4.75,0.2275
143.556144,180.0,3.122,5.9,0.575
133.487261,78.89,5.713,5.858,0.3284
133.450156,76.32,5.638,5.658,0.3252
133.415473,76.6,5.735,5.689,0.3232
133.335418,75.62,5.704,5.721,0.3254
133.320467,75.2,5.704,5.729,0.3256
144.925468,-36.93,5.687,5.369,0.799
137.424777,-126.05,5.886,5.737,0.5759
134.156894,-82.96,5.606,5.354,0.4162
133.413018,76.47,5.708,5.769,0.3371
136.082369,127.71,5.898,5.81,0.3336
135.392686,111.28,5.646,4.946,0.3667
150.009526,-171.6,5.854,2.71,0.7973
135.01054,68.4,4.318,5.895,0.487
135.030125,-71.39,5.895,4.649,0.2504
133.404484,76.87,5.538,5.704,0.342
133.397586,76.09,5.699,5.736,0.3304
133.617465,77.46,5.707,5.718,0.3241
139.169445,67.19,4.125,3.969,0.5831
142.579039,176.45,5.072,5.769,0.6049
139.001009,9.9,4.697,5.382,0.3928
133.296431,73.32,5.698,5.68,0.3351
133.282333,73.12,5.721,5.69,0.334
133.264156,73.37,5.709,5.703,0.3311
133.175263,70.38,5.701,5.717,0.3307
133.273458,68.23,5.703,5.692,0.3278
133.348469,70.07,5.698,5.741,0.3314
133.18692,70.38,5.689,5.713,0.331
133.37086,70.27,5.704,5.715,0.3312
141.816382,163.01,5.869,3.535,0.205
143.471527,-13.05,4.798,4.816,0.6604
136.304456,124.98,4.538,5.857,0.3934
133.176076,71.44,5.683,5.715,0.3278
133.179082,70.96,5.719,5.706,0.3263
133.148629,70.76,5.692,5.714,0.3295
156.138646,-175.13,2.765,3.785,0.2896
139.92844,-110.68,4.191,4.365,0.3396
135.250601,-125.54,5.882,4.934,0.3305
133.182402,71.34,5.708,5.708,0.3283
133.182089,71.35,5.688,5.704,0.3278
133.151234,70.71,5.678,5.701,0.3281
144.552312,164.62,4.386,4.357,0.7517
142.947241,-176.17,5.397,4.016,0.6268
136.2823,50.19,5.894,4.078,0.3087
133.188178,71.2,5.721,5.678,0.3254
133.143592,70.53,5.698,5.736,0.3267
133.162229,70.49,5.696,5.721,0.3299
133.216037,68.76,5.693,5.719,0.3255
133.129206,70.87,5.713,5.73,0.3264
133.12876,70.8,5.702,5.742,0.3268
133.154542,71.17,5.714,5.753,0.3268
133.154791,71.04,5.7,5.742,0.326
156.41814,-177.52,1.664,4.8,0.5455
135.939224,-70.99,4.243,5.769,0.3369
137.032098,-122.54,4.901,4.738,0.5189
133.216238,71.43,5.654,5.686,0.3252
133.124977,70.62,5.717,5.743,0.3252
133.094907,72.06,5.746,5.742,0.323
154.424818,-30.6,1.882,4.497,0.7996
136.775163,48.22,5.075,4.929,0.5459
138.256401,-159.1,5.42,5.84,0.4373
